pk,user_id,product_id,rating,content,content,,pk,content
363,3,46,4,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
364,4,46,5,"Good for me, Not for my wife",27,,,
365,5,46,6,unexpectedly sweet and soft,11,,,
366,6,46,5,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
367,7,46,3,too sweet for me but decent one:),32,,,
368,8,46,8,"Very sweet, a little spakling for some reason. Easy drink",13,,,
369,1,47,5,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
370,2,47,1,unexpectedly sweet and soft,11,,,
371,3,47,4,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
372,4,47,6,Fruity and not too sweet,19,,,
373,5,47,3,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
374,6,47,5,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
375,7,47,10,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
376,8,47,1,Little bit sweet:(,17,,,
377,1,48,8,"Pear!!! Fig, Floral, refreshing",2,,,
378,2,48,6,"Very sweet, a little spakling for some reason. Easy drink",13,,,
379,3,48,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
380,4,48,4,Trash,28,,,
381,5,48,9,A liittle too sweet,29,,,
382,6,48,9,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
383,7,48,6,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
384,8,48,10,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
385,1,49,5,peach green apple sweety,7,,,
386,2,49,6,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
387,3,49,5,Fruity and not too sweet,19,,,
388,4,49,3,unexpectedly sweet and soft,11,,,
389,5,49,1,honey peach tropical bread yeast Too sweet for me,31,,,
390,6,49,7,Sweet taste with a great finish,20,,,
391,7,49,7,too sweet for me but decent one:),32,,,
392,8,49,4,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
393,1,50,1,A little too sweet but very pleasant and light,12,,,
394,2,50,5,too sweet for me but decent one:),32,,,
395,3,50,9,peach green apple sweety,7,,,
396,4,50,3,Fruity and not too sweet,19,,,
397,5,50,8,"Good for me, Not for my wife",27,,,
398,6,50,3,Fruity and not too sweet,19,,,
399,7,50,2,unexpectedly sweet and soft,11,,,
400,8,50,6,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
401,1,51,9,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
402,2,51,9,Trash,28,,,
403,3,51,5,A liittle too sweet,29,,,
404,4,51,9,"Very sweet, bordering dessert wine",24,,,
405,5,51,2,Little bit sweet:(,17,,,
406,6,51,8,"Pear!!! Fig, Floral, refreshing",2,,,
407,7,51,1,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
408,8,51,7,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
409,1,52,7,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
410,2,52,6,"very sweet, so only good at the first drink",23,,,
411,3,52,2,Fruity & good vakue,10,,,
412,4,52,7,I just don't like sweet vine but this wine is good with desserts,26,,,
413,5,52,4,I just don't like sweet vine but this wine is good with desserts,26,,,
414,6,52,7,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
415,7,52,8,unexpectedly sweet and soft,11,,,
416,8,52,2,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
417,1,53,2,too sweet for me but decent one:),32,,,
418,2,53,5,Sweet taste with a great finish,20,,,
419,3,53,2,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
420,4,53,4,sweet. Good light drink.,6,,,
421,5,53,8,sweet. Good light drink.,6,,,
422,6,53,7,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
423,7,53,1,sweet. Good light drink.,6,,,
424,8,53,7,sweet. Good light drink.,6,,,
425,1,54,3,unexpectedly sweet and soft,11,,,
426,2,54,10,sweet. Good light drink.,6,,,
427,3,54,10,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
428,4,54,1,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
429,5,54,4,A liittle too sweet,29,,,
430,6,54,8,"Pear!!! Fig, Floral, refreshing",2,,,
431,7,54,6,light body/ fruity,22,,,
432,8,54,7,I just don't like sweet vine but this wine is good with desserts,26,,,
433,1,55,4,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
434,2,55,1,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
435,3,55,1,too sweet for me but decent one:),32,,,
436,4,55,6,Fruity and not too sweet,19,,,
437,5,55,8,light body/ fruity,22,,,
438,6,55,4,too sweet for me but decent one:),9,,,
439,7,55,4,"Very sweet, a little spakling for some reason. Easy drink",13,,,
440,8,55,10,honey peach tropical bread yeast Too sweet for me,31,,,
441,1,56,7,A little too sweet but very pleasant and light,12,,,
442,2,56,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
443,3,56,6,too sweet for me but decent one:),32,,,
444,4,56,4,honey peach tropical bread yeast Too sweet for me,31,,,
445,5,56,3,A little too sweet but very pleasant and light,12,,,
446,6,56,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
447,7,56,3,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
448,8,56,7,A liittle too sweet,29,,,
449,1,57,9,Trash,28,,,
450,2,57,7,I just don't like sweet vine but this wine is good with desserts,26,,,
451,3,57,1,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
452,4,57,6,light body/ fruity,22,,,
453,5,57,6,Trash,28,,,
454,6,57,8,I just don't like sweet vine but this wine is good with desserts,26,,,
455,7,57,4,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
456,8,57,7,Fruity & good vakue,10,,,
457,1,58,10,"Very sweet, a little spakling for some reason. Easy drink",13,,,
458,2,58,2,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
459,3,58,2,peach green apple sweety,7,,,
460,4,58,6,"Very sweet, a little spakling for some reason. Easy drink",13,,,
461,5,58,7,"Very sweet, a little spakling for some reason. Easy drink",13,,,
462,6,58,7,"Good for me, Not for my wife",27,,,
463,7,58,2,honey peach tropical bread yeast Too sweet for me,31,,,
464,8,58,7,Little bit sweet:(,17,,,
465,1,59,6,light body/ fruity,22,,,
466,2,59,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
467,3,59,3,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
468,4,59,8,Fruity and not too sweet,19,,,
469,5,59,1,light body/ fruity,22,,,
470,6,59,6,too sweet for me but decent one:),9,,,
471,7,59,3,"Pear!!! Fig, Floral, refreshing",2,,,
472,8,59,2,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
473,1,60,1,I just don't like sweet vine but this wine is good with desserts,26,,,
474,2,60,6,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
475,3,60,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
476,4,60,10,honey peach tropical bread yeast Too sweet for me,31,,,
477,5,60,7,A liittle too sweet,29,,,
478,6,60,3,Fruity and not too sweet,19,,,
479,7,60,6,I just don't like sweet vine but this wine is good with desserts,26,,,
480,8,60,4,sweet. Good light drink.,6,,,
481,1,61,2,"Pear!!! Fig, Floral, refreshing",2,,,
482,2,61,1,Sweet taste with a great finish,20,,,
483,3,61,8,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
484,4,61,9,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
485,5,61,2,A liittle too sweet,29,,,
486,6,61,4,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
487,7,61,4,Fruity & good vakue,10,,,
488,8,61,7,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
489,1,62,10,A liittle too sweet,29,,,
490,2,62,9,peach green apple sweety,7,,,
491,3,62,3,honey peach tropical bread yeast Too sweet for me,31,,,
492,4,62,5,sweet. Good light drink.,6,,,
493,5,62,1,unexpectedly sweet and soft,11,,,
494,6,62,6,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
495,7,62,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
496,8,62,10,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
497,1,63,6,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
498,2,63,1,Little bit sweet:(,17,,,
499,3,63,4,light body/ fruity,22,,,
500,4,63,4,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
501,5,63,9,too sweet for me but decent one:),9,,,
502,6,63,2,"Pear!!! Fig, Floral, refreshing",2,,,
503,7,63,8,Fruity & good vakue,10,,,
504,8,63,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
505,1,64,2,"Good for me, Not for my wife",27,,,
506,2,64,5,Trash,28,,,
507,3,64,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
508,4,64,9,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
509,5,64,8,"Good for me, Not for my wife",27,,,
510,6,64,7,"Pear!!! Fig, Floral, refreshing",2,,,
511,7,64,8,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
512,8,64,6,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
513,1,65,4,I just don't like sweet vine but this wine is good with desserts,26,,,
514,2,65,6,A liittle too sweet,29,,,
515,3,65,4,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
516,4,65,5,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
517,5,65,9,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
518,6,65,8,I just don't like sweet vine but this wine is good with desserts,26,,,
519,7,65,3,A little too sweet but very pleasant and light,12,,,
520,8,65,10,sparkling!,30,,,
521,1,66,5,light body/ fruity,22,,,
522,2,66,7,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
523,3,66,3,"very sweet, so only good at the first drink",23,,,
524,4,66,4,"Pear!!! Fig, Floral, refreshing",2,,,
525,5,66,10,too sweet for me but decent one:),32,,,
526,6,66,8,"Pear!!! Fig, Floral, refreshing",2,,,
527,7,66,9,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
528,8,66,9,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
529,1,67,7,sparkling!,30,,,
530,2,67,4,"Good for me, Not for my wife",27,,,
531,3,67,8,Fruity & good vakue,10,,,
532,4,67,10,A liittle too sweet,29,,,
533,5,67,2,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
534,6,67,4,too sweet for me but decent one:),9,,,
535,7,67,4,"very sweet, so only good at the first drink",23,,,
536,8,67,2,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
537,1,68,6,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
538,2,68,6,A liittle too sweet,29,,,
539,3,68,7,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
540,4,68,3,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
541,5,68,4,sweet. Good light drink.,6,,,
542,6,68,4,too sweet for me but decent one:),32,,,
543,7,68,2,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
544,8,68,9,honey peach tropical bread yeast Too sweet for me,31,,,
545,1,69,2,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
546,2,69,6,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
547,3,69,10,A liittle too sweet,29,,,
548,4,69,2,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
549,5,69,4,peach green apple sweety,7,,,
550,6,69,8,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
551,7,69,1,sweet. Good light drink.,6,,,
552,8,69,3,A liittle too sweet,29,,,
553,1,70,3,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
554,2,70,6,Fruity and not too sweet,19,,,
555,3,70,2,honey peach tropical bread yeast Too sweet for me,31,,,
556,4,70,6,too sweet for me but decent one:),32,,,
557,5,70,6,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
558,6,70,1,too sweet for me but decent one:),32,,,
559,7,70,6,unexpectedly sweet and soft,11,,,
560,8,70,9,Trash,28,,,
561,1,71,4,Sweet taste with a great finish,20,,,
562,2,71,8,"very sweet, so only good at the first drink",23,,,
563,3,71,4,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
564,4,71,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
565,5,71,1,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
566,6,71,6,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
567,7,71,6,Trash,28,,,
568,8,71,2,"very sweet, so only good at the first drink",23,,,
569,1,72,9,peach green apple sweety,7,,,
570,2,72,9,A little too sweet but very pleasant and light,12,,,
571,3,72,8,Little bit sweet:(,17,,,
572,4,72,1,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
573,5,72,7,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
574,6,72,3,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
575,7,72,4,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
576,8,72,7,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
577,1,73,9,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
578,2,73,7,A liittle too sweet,29,,,
579,3,73,4,Fruity & good vakue,10,,,
580,4,73,3,Trash,28,,,
581,5,73,1,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
582,6,73,6,Little bit sweet:(,17,,,
583,7,73,3,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
584,8,73,10,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
585,1,74,7,too sweet for me but decent one:),32,,,
586,2,74,4,Fruity and not too sweet,19,,,
587,3,74,3,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
588,4,74,4,light body/ fruity,22,,,
589,5,74,8,Trash,28,,,
590,6,74,9,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
591,7,74,9,honey peach tropical bread yeast Too sweet for me,31,,,
592,8,74,7,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
593,1,75,5,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
594,2,75,6,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
595,3,75,5,too sweet for me but decent one:),9,,,
596,4,75,6,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
597,5,75,6,I just don't like sweet vine but this wine is good with desserts,26,,,
598,6,75,5,sparkling!,30,,,
599,7,75,5,"Very sweet, bordering dessert wine",24,,,
600,8,75,2,light body/ fruity,22,,,
601,1,76,1,too sweet for me but decent one:),32,,,
602,2,76,8,I just don't like sweet vine but this wine is good with desserts,26,,,
603,3,76,4,light body/ fruity,22,,,
604,4,76,6,"very sweet, so only good at the first drink",23,,,
605,5,76,8,too sweet for me but decent one:),9,,,
606,6,76,1,Fruity and not too sweet,19,,,
607,7,76,7,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
608,8,76,3,Fruity and not too sweet,19,,,
609,1,77,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
610,2,77,4,Sweet taste with a great finish,20,,,
611,3,77,3,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
612,4,77,8,light body/ fruity,22,,,
613,5,77,1,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
614,6,77,7,sparkling!,30,,,
615,7,77,8,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
616,8,77,8,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
617,1,78,1,too sweet for me but decent one:),32,,,
618,2,78,4,honey peach tropical bread yeast Too sweet for me,31,,,
619,3,78,4,Little bit sweet:(,17,,,
620,4,78,7,too sweet for me but decent one:),32,,,
621,5,78,2,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
622,6,78,4,light body/ fruity,22,,,
623,7,78,7,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
624,8,78,10,too sweet for me but decent one:),32,,,
625,1,79,4,honey peach tropical bread yeast Too sweet for me,31,,,
626,2,79,6,Sweet taste with a great finish,20,,,
627,3,79,4,peach green apple sweety,7,,,
628,4,79,3,Little bit sweet:(,17,,,
629,5,79,3,sweet. Good light drink.,6,,,
630,6,79,5,too sweet for me but decent one:),32,,,
631,7,79,5,"Very sweet, bordering dessert wine",24,,,
632,8,79,4,honey peach tropical bread yeast Too sweet for me,31,,,
633,1,80,5,too sweet for me but decent one:),9,,,
634,2,80,9,"Very sweet, a little spakling for some reason. Easy drink",13,,,
635,3,80,2,sweet. Good light drink.,6,,,
636,4,80,6,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
637,5,80,3,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
638,6,80,2,"Very sweet, bordering dessert wine",24,,,
639,7,80,4,honey peach tropical bread yeast Too sweet for me,31,,,
640,8,80,8,sparkling!,30,,,
641,1,81,7,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,,
642,2,81,9,"Pear!!! Fig, Floral, refreshing",2,,,
643,3,81,2,honey peach tropical bread yeast Too sweet for me,31,,,
644,4,81,8,unexpectedly sweet and soft,11,,,
645,5,81,6,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
646,6,81,1,Fruity & good vakue,10,,,
647,7,81,4,A liittle too sweet,29,,,
648,8,81,4,"Good for me, Not for my wife",27,,,
649,1,82,4,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
650,2,82,2,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
651,3,82,2,unexpectedly sweet and soft,11,,,
652,4,82,5,Sweet taste with a great finish,20,,,
653,5,82,4,Fruity & good vakue,10,,,
654,6,82,10,"very sweet, so only good at the first drink",23,,,
655,7,82,6,Little bit sweet:(,17,,,
656,8,82,10,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
657,1,83,7,Trash,28,,,
658,2,83,4,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
659,3,83,4,"Good for me, Not for my wife",27,,,
660,4,83,8,"Very sweet, bordering dessert wine",24,,,
661,5,83,2,too sweet for me but decent one:),9,,,
662,6,83,5,Fruity & good vakue,10,,,
663,7,83,9,"Very sweet, a little spakling for some reason. Easy drink",13,,,
664,8,83,3,I just don't like sweet vine but this wine is good with desserts,26,,,
665,1,84,9,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.,25,,,
666,2,84,10,"very sweet, so only good at the first drink",23,,,
667,3,84,8,peach green apple sweety,7,,,
668,4,84,1,honey peach tropical bread yeast Too sweet for me,31,,,
669,5,84,2,A little too sweet but very pleasant and light,12,,,
670,6,84,3,"very sweet, so only good at the first drink",23,,,
671,7,84,9,honey peach tropical bread yeast Too sweet for me,31,,,
672,8,84,9,"Good for me, Not for my wife",27,,,
673,1,85,2,"Very sweet, a little spakling for some reason. Easy drink",13,,,
674,2,85,4,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
675,3,85,5,unexpectedly sweet and soft,11,,,
676,4,85,8,light body/ fruity,22,,,
677,5,85,4,Little bit sweet:(,17,,,
678,6,85,2,Fruity & good vakue,10,,,
679,7,85,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
680,8,85,5,sparkling!,30,,,
681,1,86,5,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
682,2,86,3,Little bit sweet:(,17,,,
683,3,86,7,"Pear!!! Fig, Floral, refreshing",2,,,
684,4,86,8,light body/ fruity,22,,,
685,5,86,3,"Very sweet, a little spakling for some reason. Easy drink",13,,,
686,6,86,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
687,7,86,7,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,,
688,8,86,1,Fruity and not too sweet,19,,,
689,1,87,2,Little bit sweet:(,17,,,
690,2,87,8,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
691,3,87,9,peach green apple sweety,7,,,
692,4,87,10,honey peach tropical bread yeast Too sweet for me,31,,,
693,5,87,6,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
694,6,87,8,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
695,7,87,5,"Good for me, Not for my wife",27,,,
696,8,87,7,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
697,1,88,8,light body/ fruity,22,,,
698,2,88,7,"very sweet, so only good at the first drink",23,,,
699,3,88,10,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,,
700,4,88,4,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.,16,,,
701,5,88,4,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
702,6,88,7,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
703,7,88,7,Fruity & good vakue,10,,,
704,8,88,6,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot.",1,,,
705,1,89,1,light body/ fruity,22,,,
706,2,89,2,"very sweet, so only good at the first drink",23,,,
707,3,89,3,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
708,4,89,4,too sweet for me but decent one:),32,,,
709,5,89,2,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
710,6,89,1,light body/ fruity,22,,,
711,7,89,10,too sweet for me but decent one:),9,,,
712,8,89,10,Fruity and not too sweet,19,,,
713,1,90,5,peach green apple sweety,7,,,
714,2,90,6,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,,
715,3,90,4,I just don't like sweet vine but this wine is good with desserts,26,,,
716,4,90,9,Fruity and not too sweet,19,,,
717,5,90,6,Fruity and not too sweet,19,,,
718,6,90,9,"Very sweet, bordering dessert wine",24,,,
719,7,90,10,"very sweet, so only good at the first drink",23,,,
720,8,90,10,I just don't like sweet vine but this wine is good with desserts,26,,,
721,1,91,7,"very sweet, so only good at the first drink",23,,,
722,2,91,4,"Pear!!! Fig, Floral, refreshing",2,,,
723,3,91,7,A liittle too sweet,29,,,
724,4,91,7,too sweet for me but decent one:),32,,,
725,5,91,5,I just don't like sweet vine but this wine is good with desserts,26,,,
726,6,91,7,"Very sweet, bordering dessert wine",24,,,
727,7,91,1,too sweet for me but decent one:),9,,,
728,8,91,7,sparkling!,30,,,
729,1,92,2,light body/ fruity,22,,,
730,2,92,6,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,,
731,3,92,2,Fruity & good vakue,10,,,
732,4,92,1,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.,5,,,
733,5,92,1,Little bit sweet:(,17,,,
734,6,92,4,sparkling!,30,,,
735,7,92,8,I just don't like sweet vine but this wine is good with desserts,26,,,
736,8,92,7,sparkling!,30,,,
737,1,93,10,peach green apple sweety,7,,,
738,2,93,6,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,,
739,3,93,10,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
740,4,93,7,Fruity & good vakue,10,,,
741,5,93,4,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!",3,,,
